Zone,Animal ID,Genotype,Distance (cm)
Center,C28,WT,470.851
Center,C30,WT,328.28
Center,C31,WT,375.322
Center,C35,WT,368.738
Center,C37,WT,417.668
Center,C41,WT,398.423
Center,C42,WT,417.573
Center,C44,WT,544.943
Center,C45,WT,582.794
Center,C47,WT,666.477
Center,C49,WT,735.307
Center,C51,WT,623.741
Center,C29,KO,641.002
Center,C32,KO,432.012
Center,C33,KO,348.965
Center,C34,KO,440.278
Center,C36,KO,435.92
Center,C38,KO,482.363
Center,C39,KO,543.28
Center,C40,KO,541.206
Center,C43,KO,455.841
Center,C46,KO,342.329
Center,C48,KO,535.704
Center,C50,KO,562.141
Center,C52,KO,353.68
Border,C28,WT,2949.28
Border,C30,WT,3373.68
Border,C31,WT,4187.18
Border,C35,WT,4017.81
Border,C37,WT,3578.09
Border,C41,WT,3652.43
Border,C42,WT,3072.28
Border,C44,WT,3505.91
Border,C45,WT,4737.49
Border,C47,WT,4687.44
Border,C49,WT,3991.59
Border,C51,WT,4622.52
Border,C29,KO,3004.08
Border,C32,KO,3667.62
Border,C33,KO,3208.52
Border,C34,KO,3129.62
Border,C36,KO,3274.27
Border,C38,KO,3563.1
Border,C39,KO,3243.12
Border,C40,KO,3690.75
Border,C43,KO,3463.6
Border,C46,KO,3157.47
Border,C48,KO,3655.95
Border,C50,KO,5814.6
Border,C52,KO,3270.36
