Zone,Animal ID,Genotype,Entries
Center,C28,WT,26
Center,C30,WT,13
Center,C31,WT,16
Center,C35,WT,18
Center,C37,WT,25
Center,C41,WT,14
Center,C42,WT,19
Center,C44,WT,18
Center,C45,WT,33
Center,C47,WT,24
Center,C49,WT,29
Center,C51,WT,16
Border,C28,WT,26
Border,C30,WT,15
Border,C31,WT,16
Border,C35,WT,23
Border,C37,WT,24
Border,C41,WT,14
Border,C42,WT,22
Border,C44,WT,18
Border,C45,WT,32
Border,C47,WT,24
Border,C49,WT,30
Border,C51,WT,16
Center,C29,KO,28
Center,C32,KO,23
Center,C33,KO,21
Center,C34,KO,22
Center,C36,KO,8
Center,C38,KO,26
Center,C39,KO,25
Center,C40,KO,31
Center,C43,KO,17
Center,C46,KO,15
Center,C48,KO,30
Center,C50,KO,20
Center,C52,KO,22
Border,C29,KO,31
Border,C32,KO,22
Border,C33,KO,22
Border,C34,KO,23
Border,C36,KO,12
Border,C38,KO,26
Border,C39,KO,23
Border,C40,KO,34
Border,C43,KO,20
Border,C46,KO,14
Border,C48,KO,30
Border,C50,KO,25
Border,C52,KO,21
