Zone,Animal ID,Genotype,Energy expenditure (kcal/h/kg)
Day,28,WT,5.88576388888889
Day,37,WT,6.05427777777777
Day,39,WT,4.29284722222223
Day,41,WT,5.95106944444444
Day,46,WT,5.97577777777778
Day,53,WT,3.68011111111111
Day,58,WT,6.30494444444445
Day,59,WT,5.98177777777778
Day,60,WT,6.18366153846154
Day,20,KO,5.25551388888889
Day,21,KO,5.20038888888889
Day,22,KO,4.48511111111111
Day,29,KO,5.88893055555555
Day,30,KO,6.65941666666666
Day,31,KO,6.26372222222222
Day,38,KO,5.72408333333333
Day,40,KO,6.00486111111111
Day,47,KO,5.72318055555556
Day,51,KO,5.82697222222222
Day,52,KO,4.88106153846154
Day,56,KO,5.68009722222222
Day,57,KO,5.46764615384616
Night,28,WT,8.205875
Night,37,WT,7.08756944444444
Night,39,WT,5.01086111111111
Night,41,WT,7.00433333333333
Night,46,WT,7.68470833333333
Night,53,WT,4.54541666666667
Night,58,WT,7.39623611111111
Night,59,WT,6.99891666666667
Night,60,WT,7.16929166666667
Night,20,KO,6.92393055555556
Night,21,KO,6.21281944444445
Night,22,KO,5.10176388888889
Night,29,KO,7.36618055555556
Night,30,KO,8.520875
Night,31,KO,8.11065277777778
Night,38,KO,6.77068055555556
Night,40,KO,7.48131944444445
Night,47,KO,7.16361111111111
Night,51,KO,6.94736111111111
Night,52,KO,6.08861111111111
Night,56,KO,7.440625
Night,57,KO,6.80831944444445
