Zone,Period,Animal ID,Genotype,Food intake (g)
NaCl,0-60 min,218,WT,1.01
NaCl,0-60 min,219,WT,0.93
NaCl,0-60 min,221,WT,0.4
NaCl,0-60 min,248,WT,1.18
NaCl,0-60 min,249,WT,0.91
NaCl,0-60 min,251,WT,0.33
NaCl,0-60 min,230,WT,0.600000000000001
NaCl,0-60 min,244,WT,0.62
NaCl,0-60 min,246,WT,0.4
NaCl,60-120 min,218,WT,0.190000000000001
NaCl,60-120 min,219,WT,0.0
NaCl,60-120 min,221,WT,0.0
NaCl,60-120 min,248,WT,0.0
NaCl,60-120 min,249,WT,0.24
NaCl,60-120 min,251,WT,0.17
NaCl,60-120 min,230,WT,0.0699999999999994
NaCl,60-120 min,244,WT,0.24
NaCl,60-120 min,246,WT,0.64
NaCl,0-60 min,216,KO,0.57
NaCl,0-60 min,217,KO,1.14
NaCl,0-60 min,220,KO,0.85
NaCl,0-60 min,222,KO,0.49
NaCl,0-60 min,250,KO,0.89
NaCl,0-60 min,252,KO,0.43
NaCl,0-60 min,229,KO,0.83
NaCl,0-60 min,265,KO,0.66
NaCl,0-60 min,267,KO,0.58
NaCl,0-60 min,245,KO,0.0
NaCl,60-120 min,216,KO,0.51
NaCl,60-120 min,217,KO,0.100000000000001
NaCl,60-120 min,220,KO,0.0800000000000001
NaCl,60-120 min,222,KO,0.16
NaCl,60-120 min,250,KO,0.140000000000001
NaCl,60-120 min,252,KO,0.42
NaCl,60-120 min,229,KO,0.2
NaCl,60-120 min,265,KO,0.29
NaCl,60-120 min,267,KO,0.22
NaCl,60-120 min,245,KO,0.15
mCPP,0-60 min,218,WT,0.46
mCPP,0-60 min,219,WT,0.0
mCPP,0-60 min,221,WT,0.0
mCPP,0-60 min,248,WT,0.0300000000000002
mCPP,0-60 min,249,WT,0.0300000000000002
mCPP,0-60 min,251,WT,0.0
mCPP,0-60 min,230,WT,0.0
mCPP,0-60 min,244,WT,0.0
mCPP,0-60 min,246,WT,0.0
mCPP,60-120 min,218,WT,0.04
mCPP,60-120 min,219,WT,0.0
mCPP,60-120 min,221,WT,0.0
mCPP,60-120 min,248,WT,0.39
mCPP,60-120 min,249,WT,0.12
mCPP,60-120 min,251,WT,0.0
mCPP,60-120 min,230,WT,0.0
mCPP,60-120 min,244,WT,0.0
mCPP,60-120 min,246,WT,0.0
mCPP,0-60 min,216,KO,0.0416666666666667
mCPP,0-60 min,217,KO,0.3
mCPP,0-60 min,220,KO,0.0
mCPP,0-60 min,222,KO,0.21
mCPP,0-60 min,250,KO,0.0
mCPP,0-60 min,252,KO,0.0
mCPP,0-60 min,229,KO,0.0
mCPP,0-60 min,265,KO,0.00999999999999979
mCPP,0-60 min,267,KO,0.0
mCPP,0-60 min,245,KO,0.0600000000000005
mCPP,60-120 min,216,KO,0.0416666666666667
mCPP,60-120 min,217,KO,0.789999999999999
mCPP,60-120 min,220,KO,0.19
mCPP,60-120 min,222,KO,0.0
mCPP,60-120 min,250,KO,0.0
mCPP,60-120 min,252,KO,0.0
mCPP,60-120 min,229,KO,0.0
mCPP,60-120 min,265,KO,0.0
mCPP,60-120 min,267,KO,0.0
mCPP,60-120 min,245,KO,0.0
