Zone,Animal ID,Genotype,Weight (mg)
BAT,0384,WT,312
BAT,0385 IG,WT,273
BAT,0371,WT,491
BAT,0372 IG,WT,240
BAT,0387,WT,223
BAT,0389 ID,WT,282
BAT,0391 I2G,WT,224
BAT,0400 ID,WT,353
PG,0384,WT,1835
PG,0385 IG,WT,2524
PG,0371,WT,2298
PG,0372 IG,WT,2190
PG,0387,WT,2320
PG,0389 ID,WT,1755
PG,0391 I2G,WT,1988
PG,0400 ID,WT,1999
SC,0384,WT,1143
SC,0385 IG,WT,1704
SC,0371,WT,2504
SC,0372 IG,WT,2533
SC,0387,WT,2660
SC,0389 ID,WT,2776
SC,0391 I2G,WT,2548
SC,0400 ID,WT,3095
Liver,0384,WT,1434
Liver,0385 IG,WT,1836
Liver,0371,WT,3741
Liver,0372 IG,WT,2798
Liver,0387,WT,2386
Liver,0389 ID,WT,4654
Liver,0391 I2G,WT,3250
Liver,0400 ID,WT,3406
BAT,0373 ID,KO,822
BAT,0388 IG,KO,396
BAT,0390 IGD,KO,517
BAT,0398,KO,417
BAT,0399 IG,KO,534
BAT,0401 IGD,KO,311
BAT,0402 I2G,KO,295
BAT,0414,KO,402
BAT,0415 IG,KO,275
BAT,0416 ID,KO,383
BAT,0406,KO,338
BAT,0407 IG,KO,442
BAT,0408 ID,KO,238
PG,0373 ID,KO,2443
PG,0388 IG,KO,2485
PG,0390 IGD,KO,1624
PG,0398,KO,2391
PG,0399 IG,KO,1763
PG,0401 IGD,KO,2450
PG,0402 I2G,KO,2154
PG,0414,KO,1551
PG,0415 IG,KO,1993
PG,0416 ID,KO,2339
PG,0406,KO,2030
PG,0407 IG,KO,2324
PG,0408 ID,KO,1890
SC,0373 ID,KO,3018
SC,0388 IG,KO,2566
SC,0390 IGD,KO,2743
SC,0398,KO,2999
SC,0399 IG,KO,2458
SC,0401 IGD,KO,3295
SC,0402 I2G,KO,2500
SC,0414,KO,1985
SC,0415 IG,KO,2293
SC,0416 ID,KO,2509
SC,0406,KO,2402
SC,0407 IG,KO,3035
SC,0408 ID,KO,2640
Liver,0373 ID,KO,3851
Liver,0388 IG,KO,1838
Liver,0390 IGD,KO,3200
Liver,0398,KO,2817
Liver,0399 IG,KO,3478
Liver,0401 IGD,KO,3620
Liver,0402 I2G,KO,3507
Liver,0414,KO,1807
Liver,0415 IG,KO,2102
Liver,0416 ID,KO,1866
Liver,0406,KO,4070
Liver,0407 IG,KO,4049
Liver,0408 ID,KO,3726
