Time,Animal ID,Genotype,Glucose (mg/dL)
-15,O 384,WT,103
-15,IG 385,WT,103
-15,O 371,WT,192
-15,IG 372,WT,181
-15,O 387,WT,112
-15,ID 389,WT,116
-15,I2G 391,WT,105
-15,ID 400,WT,132
0,O 384,WT,134
0,IG 385,WT,116
0,O 371,WT,248
0,IG 372,WT,180
0,O 387,WT,149
0,ID 389,WT,131
0,I2G 391,WT,165
0,ID 400,WT,191
15,O 384,WT,437
15,IG 385,WT,307
15,O 371,WT,474
15,IG 372,WT,427
15,O 387,WT,346
15,ID 389,WT,353
15,I2G 391,WT,388
15,ID 400,WT,425
30,O 384,WT,424
30,IG 385,WT,388
30,O 371,WT,554
30,IG 372,WT,509
30,O 387,WT,426
30,ID 389,WT,434
30,I2G 391,WT,479
30,ID 400,WT,418
45,O 384,WT,405
45,IG 385,WT,376
45,O 371,WT,567
45,IG 372,WT,489
45,O 387,WT,413
45,ID 389,WT,445
45,I2G 391,WT,490
45,ID 400,WT,458
60,O 384,WT,354
60,IG 385,WT,321
60,O 371,WT,557
60,IG 372,WT,488
60,O 387,WT,378
60,ID 389,WT,386
60,I2G 391,WT,497
60,ID 400,WT,418
90,O 384,WT,225
90,IG 385,WT,229
90,O 371,WT,434
90,IG 372,WT,370
90,O 387,WT,278
90,ID 389,WT,294
90,I2G 391,WT,376
90,ID 400,WT,320
120,O 384,WT,198
120,IG 385,WT,197
120,O 371,WT,345
120,IG 372,WT,344
120,O 387,WT,226
120,ID 389,WT,255
120,I2G 391,WT,309
120,ID 400,WT,294
-15,ID 373,KO,172
-15,IG 388,KO,167
-15,GD 390,KO,132
-15,O 398,KO,135
-15,IG 399,KO,214
-15,GD 401,KO,152
-15,I2G 402,KO,141
-15,O 406,KO,148
-15,IG 407,KO,189
-15,ID 408,KO,165
-15,O 414,KO,115
-15,IG 415,KO,168
-15,ID 416,KO,111
0,ID 373,KO,231
0,IG 388,KO,217
0,GD 390,KO,150
0,O 398,KO,202
0,IG 399,KO,218
0,GD 401,KO,171
0,I2G 402,KO,161
0,O 406,KO,161
0,IG 407,KO,202
0,ID 408,KO,170
0,O 414,KO,155
0,IG 415,KO,133
0,ID 416,KO,136
15,ID 373,KO,470
15,IG 388,KO,443
15,GD 390,KO,413
15,O 398,KO,472
15,IG 399,KO,410
15,GD 401,KO,409
15,I2G 402,KO,378
15,O 406,KO,339
15,IG 407,KO,442
15,ID 408,KO,423
15,O 414,KO,495
15,IG 415,KO,445
15,ID 416,KO,466
30,ID 373,KO,518
30,IG 388,KO,464
30,GD 390,KO,427
30,O 398,KO,470
30,IG 399,KO,417
30,GD 401,KO,401
30,I2G 402,KO,440
30,O 406,KO,343
30,IG 407,KO,486
30,ID 408,KO,365
30,O 414,KO,552
30,IG 415,KO,435
30,ID 416,KO,446
45,ID 373,KO,537
45,IG 388,KO,420
45,GD 390,KO,443
45,O 398,KO,473
45,IG 399,KO,340
45,GD 401,KO,378
45,I2G 402,KO,396
45,O 406,KO,382
45,IG 407,KO,466
45,ID 408,KO,309
45,O 414,KO,475
45,IG 415,KO,458
45,ID 416,KO,401
60,ID 373,KO,518
60,IG 388,KO,389
60,GD 390,KO,377
60,O 398,KO,418
60,IG 399,KO,302
60,GD 401,KO,328
60,I2G 402,KO,379
60,O 406,KO,353
60,IG 407,KO,448
60,ID 408,KO,319
60,O 414,KO,473
60,IG 415,KO,405
60,ID 416,KO,378
90,ID 373,KO,487
90,IG 388,KO,402
90,GD 390,KO,314
90,O 398,KO,360
90,IG 399,KO,255
90,GD 401,KO,295
90,I2G 402,KO,263
90,O 406,KO,296
90,IG 407,KO,411
90,ID 408,KO,279
90,O 414,KO,308
90,IG 415,KO,344
90,ID 416,KO,315
120,ID 373,KO,387
120,IG 388,KO,379
120,GD 390,KO,279
120,O 398,KO,328
120,IG 399,KO,255
120,GD 401,KO,263
120,I2G 402,KO,253
120,O 406,KO,261
120,IG 407,KO,330
120,ID 408,KO,267
120,O 414,KO,230
120,IG 415,KO,244
120,ID 416,KO,252
