Zone,Animal ID,Genotype,Physical activity
Day,384,WT,21281
Day,385,WT,4917
Day,387,WT,21707
Day,389,WT,2121
Day,391,WT,19552
Day,400,WT,17378
Day,371,WT,24919
Day,372,WT,30891
Day,414,KO,18810
Day,373,KO,21940
Day,388,KO,20384
Day,390,KO,22655
Day,406,KO,20262
Day,407,KO,19552
Day,398,KO,17144
Day,399,KO,24337
Day,401,KO,824
Day,402,KO,15159
Night,384,WT,53838
Night,385,WT,38471
Night,387,WT,123581
Night,389,WT,27950
Night,391,WT,56132
Night,400,WT,47916
Night,371,WT,66045
Night,372,WT,71111
Night,414,KO,73494
Night,373,KO,50992
Night,388,KO,100271
Night,390,KO,62812
Night,406,KO,57609
Night,407,KO,39688
Night,398,KO,101164
Night,399,KO,60810
Night,401,KO,13059
Night,402,KO,52808
